l7GQ-fR-DsA	tea
G3-NYM4jdGY	foot mat, doormat
R2i8MW23cwQ	trolley
iEjBSh9hFM0	tongue cleaner, tongue scraper
X8wA0ZYKZWU	toilet tissue, toilet paper roll, tissue roll
y6Ie1tsB9hQ	toilet cleaner, toilet bowl cleaner
FVZzIZa8f4M	toilet brush
VSaKziZByiQ	tent wedding
-FiqfJw6XDM	sticky note, post it note
Sn7de8wwojE	speakers
4Kdb012dBnU	shoe rack
GtBJBxfvUIU	sewing machine sign 3
6-sGl4K5LhQ	sewing machine sign 2
JjV3uuAbxMU	sewing machine sign 1
a8HMUPM8YD8	ribbon
EHmpa9ODI_A	remote
-h0-P3fczMo	razor
NcAeZRSxDmM	razor blade
tBP-j1PmGfI	rack
X87Of_xYh0Y	paper
9vK2hjNZmCw	notebook
pdXmluj2Ecs	name plate
gjJGyicHf2w	mattress
EOuHmH463jw	mask
9xdJr4YgxSo	lathi
dsjB1wkzPKg	latch, door latch
acbpHbyc89U	lantern, oil lamp
bLDCywKMmxs	landline, telephone, phoneline
gybkXoGdmrI	lace cloth
J3hwYT5FvQw	kit, gear
YqFFPL2dSf4	gymnastics ring, uneven bars, balance beam
9BVce8QjRZ4	gramophone
PEH5VLH-Rfg	fishing
7PMKhzpJx7Y	dumbell
2AFJuB-Ru8k	drum marching
ha1MYQmhW0U	dice
F-Tgs9H7NcE	diamond, heart, club, spade playing cards
yOBS9FlA6A4	deck, pack
Cxr68ZxZXZg	deal playing cards
6DbzWgzkqQo	dartboard
bt8dZU-ik0o	crossword
Mr1fiWhxnxE	bungee jumping
dscGI6n8YRU	ballet
iUJIM4HybWc	athletics, track and field events
cKjk92uwiXk	athlete, sportsperson
6OqS_SXW1Ik	roller coaster, roller coaster train
pf-dmk8eGZI	rock climbing
fPJ3q3aT98U	rafting, white water rafting, river rafting
CfcmeRt-Qv4	raft
uDcvu8atNQM	racket, racquet
2ZjklTdShUc	race track
xGBCt6I9Kj4	race course
ylaorsaluOo	polo
IFUlSZVedA0	parasailing, parascending, parakiting
oPdnnxAr4OA	parade sign 2
ulWoKs73z3E	parade sign 1
S02dl3xmwSA	origami
1gZNOrPQz5M	jockey horse
L6WlW-ijhJM	horse racing sport
DSfcYgOTagY	hand playing cards
XefTHAdRrHk	zorbing, globe riding
mlox1or5XIQ	winter trekking, snow trekking
zyY9r83vu9Q	winners  podium
y8tzVY2oJHM	water skiing, wakeboarding
dXNFXHJb2j4	tuba
gMNOzQgfnrk	treadmill
zyoUbJHBSR8	tambourine
mZYQCLds3L8	surfing
0q-yBWGLR9E	stationary bike
-l3E0WdAKGs	snorkelling sign 2
0_GOR984RX0	snorkelling sign 1
K82esmK4beY	sky diving
YJ6Edi6as2I	shooting sport
EiIWyd4d_Ys	scuba diving
VQc2zZAIhAg	rugby
UTUtwGvKQ_A	roller coaster
MQn1Ybx0OY8	yoyo
2olmKN32oJo	toy car
AcAoFhfCvNg	spinning top
JEs0URW-If8	soft toy, stuffed toy
hrReyxZJkbA	Ludo game
C6ODTLWO0Iw	jigsaw puzzle
ywQ5P1YVqSc	building blocks
45WFUCurDro	wide
08DC4Hm2Tj0	wicket keeper
IWlYXld_HDM	umpire
5OTCUPDfA0M	toss, coin toss
_x_rF7-2U4U	test cricket
YDWWV97qQjY	stumps
-VkYwSLmqR4	spin
ocaFAHAKvqw	single, one run
QGCrNiuZ_c8	shot explanation 2
Dsbrau-AUtc	shot explanation 1
UOaS0l8HiGQ	runs
G51B8XYyjv4	revoke decision, cancel call
ftKXwU3IzW4	pads
jJcQ4MRRSww	pace bowling, fast bowling
ZGxNWI6q2Fc	pace bowling, fast bowling Thiruvananthapuram, Kerala
RYbUz5VBJqA	pace bowling, fast bowling Gujarat
fGEIE7kIROA	over
V6ncKFgM1qo	over Indore, Madhya Pradesh
s5xk1OEVNYs	out for a duck sign 2
u_O3eERRZMc	out for a duck sign 1
m1xTLuDFu3Q	one day cricket, 50 overs format sign
hYckF7kjRAw	one day cricket, 50 overs format sign and explanation
q3JVYEx-EI4	no ball
QKPpBymlk0Y	maiden over sign
vBzUahBHtW4	maiden over sign and explanation
a1Ph4Zz-Gvg	maiden over explanation
AOqIt-hLOmY	leg spin
-IVk1dOtvxA	innings
fU9ybDbWqBI	Indian Premier League, IPL
_XTugxwE6kY	helmet
O7x1aM8-GxY	fifty, half century sign 2
UrQNmmjb8tM	fifty, half century sign 1
hBwuyMppGSk	fielder
3GQrWFG5IJg	edge
UThWTSrXJ-Y	crease
bHwo145apdg	century
R9j74dT1mcI	catch
f7JQbIskH74	bowled out
5LzQZlDWdN8	bails
vtMlKbYC-Wk	all rounder
J_gX20HLiiA	chop
qeuy8kG06EM	chips
r1x9rZI85F0	chimta, tongs for hot vessels
EtXCmzB2HJ0	chimta, tongs for chapati, roti
HKIbYlzWvOw	chana, chickpea, gram
W_2S4bBcUNo	chakla, rolling plate, roti board
Z2XZTEjyP8w	casserole
CBZEiZjstko	brown rice
fL42RwEe9K4	blend
r7c6xQld230	beverage, drink
u-ml_i8nudM	beat
TeAkPG9P2wA	batter
VeR5oKKxIE4	bakery
yiixABiEyME	bake, baking
k_W5bfCG1UU	aloo tikki
-33UOY772bo	grater, shredder
wtNW3AGFqQk	grate
NA7neMilwNg	golgappe, pani puri sign 2
SiblYR8cC84	golgappe, pani puri sign 1
CYaate0AgGk	garnish
7nsMp4QDMBQ	fry, frying
qtbr9T5We2s	fruit fork
BSVeqs6Vxgk	french fries
vgFuCFPJEFM	egg
WxWoDnQL7_0	earthen water pot, matka sign 2
6tq9K5bCLNw	earthen water pot, matka sign 1
s2h42U3hY3Q	dice
iDkCGiOu_ls	cylinder stand
JRLpDxZ2Ws4	cuisine
uZEXGpoUeBw	clarify
atreYRjXdeg	mince
HiGL-Vu5rBY	milk cream, malai
syVTQxXldTc	microwave, oven
lFrYgFmGcCQ	mash
8ES8eLHJkQU	marinade
fTO-gYUzNJ4	ladle
pZVj0RH2TTk	knead
j_ztzG-woMY	julienne
8REJr21L_Ag	ice cone, snow cone, gola, chuski
O6Lb2-U95Ds	grind
rOvczghFHAE	grill, grilling, barbeque
D017OYDHzbA	green vegetable juice
aigy7QenTkg	pakora
xETCy28ZU2g	mortar and pestle
3y_GH2qN5bg	momos
gZvq5OzWQ80	raita
wHuYZudoolc	raita boondi
WUldCNyqz1c	raisin
MmimvcA8Yus	puree
kQJNDufl-Ik	pour
vwIaVJwVteo	pit, seed
XwxYjUap8C0	pinch
D3-mUSNt4zw	stir
RTQ3C4SIS-8	steep
Jz8IJbwpqoM	steam, steaming
IS5y-DtT9E4	slice
Et2saxR3JXI	simmer
uCkCUvTB53E	sift
ymj7QQRyDZM	sieve, strainer
K3T7Cteyv8w	shred
GZWVexaKeIg	score
qDmCj-EIIzI	sauteing, stir fry
dKqAIcrV-IU	roll, wrap food item
fmmOQ2iS0fU	roast, roasting
ZERe9hPC4hE	reduce
QI30cz49rKU	recipe
Xo2MAOB9CPg	peeler, vegetable scraper
lKwhxNS0KnA	peel
4TfwYAyxHVI	peanut butter
10JZF0uiyuQ	papad
1fSnKv69WPw	pan fry, pan frying
sni7sTZoVuA	tadka, chaunk, tempering
sITdwa7DGhk	tawa
VLi6I0ZC4B0	tea strainer
IDgQOTanovI	toss
TL4b4eI40kw	whisk, beater sign 1
ED3Ko3Wf698	whisk, beater sign 2
qqCT-7Y4uCY	wine rack
opgAslWxrz4	yolk egg
Zwn9IOedcuE	conclusion
EzQtrT0vjK8	class
0dPQmz15gdg	campus
mJeyb60e_ME	camp, tent
zaacK4jaEA8	call someone called me
HrApISDOGbI	call sign 2
AZYOFnu5v9w	call sign 1
OFm55zRdQno	bottom
v35-4kShiC8	blank
2pTD5JUfmTE	birthmark
_UNXTs13Pa0	become
6w2X587AUEw	assignment, task
nQFOYe6er-k	arrive
vSQX4suuAcQ	amount
Ef0Ur3KN16M	all the best, good luck
uLSjsR7Stfw	feed
vDiEQjOHiCM	fed up
IyA03byfTYM	fall
pdFZU1S_SIs	expensive
1lHH1YgL9QA	employ
vv81FUOP86E	drown
xLW1U6tIIZI	die, death
vefRPusP6c8	delivery food, items, etc
T_UkH9lWWKI	delicious
UnZ2OEkfYDY	degree sign 2
4b3sh2J3dJg	degree sign 1
0bE6cow9xoU	degree example
FxHe6CEMDFI	costly
l62_j-wi0M8	cost
X0d_UsguFlo	connect, link, relate
M2-VL8wZK6M	height sign 1
6y-5UC8E4_4	hang
d_23NukFxWE	handsome
_2jLi555wtY	guest
vkyfE4rzpRI	giant
aiHhAFJdw1c	ghat
nNtryWs_I3I	general store, kirana store
eSZplHvSuaE	funny
mxZN2NzqKfM	full time sign 2
GPdDBxUnza8	full time sign 1
cJ4TYyET4u0	free
gu4tq--fAGU	force
s42sCtqMxU8	fight
uje0rJVODBI	feel
qNrMM8DssNA	fool
AkB4aOeIQPo	once upon a time
_X03L25zy6Q	observe, watch
OnfyfHiCOjk	message, send
PcL9vuUJm2M	long term
dZiiqenB3c0	logo
fj0FIWJgGP4	landlord
kVdAvzdWoO8	injection
H8tqKF5i9Lc	independent
HpH7n6SrJMs	impossible
axcbo_uOdMo	ignore sign 2
LlBxc7GZMaA	ignore sign 1
UBzd57YVH20	hurt
CW7GMWIBuvg	homework
v5GvZMeGT1s	high five
ewVpSoigGkI	height sign 2
ySRu4JBR3pE	weekday
jGXJtELC74Y	urgent
2nCZJAqs3e4	unhappy
p5nEzC7OP08	ugly
tSIjJEailc0	tear
walFJmEcx9Y	takeaway food
PcM_iXy0EjA	step down
lAJ9K-tp22A	steal
7vcIlpGP_D0	stand
oDTP9GTH5aE	spend
beaCInEfYRI	spell
FSAlQGn8voQ	shut
HkEg949VGHM	shut up, stop talking sign 2
75afITy2Ih4	shut up, stop talking sign 1
WAyzTRt0XdI	short term
Zl0PUrcAshE	shift
0KY2NOLgcmk	serious
AQ5xadg0R3o	section
wp4IyCVfHfs	rush
ozHe9LGHt7U	roll eg  paper
AuXbVa6yD5E	roll eg  mat
j1sBTQ7hXs8	roll eg  chapati, roti
ioqbhTiIwL0	restaurant
_0UoJWfUA7o	race competition
2Bs2ZBxQsiQ	punch
qA48lNk6swA	pile up
x-Ld25yhxJI	pet
v4dCOqQsnuI	payment
EjmWrzGEEwI	overtime
HQJGi8qY4pE	pleasant
WsGKJq-YXdk	weekend
oxGUtE2kp5Q	world record
HhbyGmBOV8o	What s up sign 2
SJt4Kr4OuVE	What s up sign 1
ESg7xQO79V0	anthill, colony, mound
8eadRZqqty0	aquarium, fish tank
k7YOBjvyygc	beehive, hive
3zYlNkgpR9c	burrow, warren
2ZcP3V30u3I	cobweb
I5G8DKNFAaI	coop, pen
1GuNJzCyEq4	den, lair
r4wmstJQaZ8	kennel
7lmC6rujDUo	nest sign 1
LsRclfa1hAU	nest sign 2
JSql5ddz_x0	shed, cowshed
RMqeE2VtF1g	stable
pQH6ClxpHEA	bark, bow wow, woof
IP8vL8F079U	bleat, baa goat
QWAyAGpp3Hs	bleat, baa sheep
_w14Grex9iY	bray, hee haw
G4uKndZduno	buzz, whine bees, flies, etc
f9vp2DQz7GQ	caw crow
T_YoT1Yxqzs	chirp grasshopper
6pNaLtX2rvo	chirp, chirrup, tweet
-vwvwV3zh6A	click dolphin
_Q9s3og3Af4	cluck hen, crow cock, rooster
MHTTYHfaZNs	cock a doodle doo
Bvx76QCHZtk	croak, ribbit frog
BoxupADO_34	growl lion, tiger
EbsQ8toEXcE	hiss, rattle
KocJnby-YzE	hoot, screech owl
BwlPZm1O1EU	howl, bay wolf
d5rf3SrgMKU	meow
yxhDxoABhsk	moo, low
WKlEw0yxk_U	neigh
kE6-eH9AGaU	oink, snort, squeal
Cg7A0N3FCZ8	quack
6rkmVmcyW48	roar, growl bear
1s-zid6MTj4	roar
Nh4kUIU279s	scream vulture
mG3rxVl_ALM	scream, chatter monkey
fVxkRbZ4s2k	screech eagle
3MJLO-agqX0	squawk parrot
i9idtwh65Nk	squeak mouse
wM0JQj_mCH8	trumpet elephant
K1itAJfTRlU	kitten
ONLHA3GmBAI	kid
q4_bA0JwOpg	joey
KW_IYt3xcUQ	fawn
3j5tm-Pe9Ws	duckling
ZXvIkjsDgF0	cub
Wx22Rv839-0	tadpole
oK7loWaWDdU	puppy, pup, whelp
DqfZl3RZOD0	piglet
QKgoq01bKAo	lamb
ocuNt3HZW3M	colt, foal, filly
h04uQYmYmCY	chick, chicken
F_EVgSqM3d0	calf
qVH_VHSAVzc	swarm of bees
X8nMZSuCfIE	school of fish
IsYpqw8i3XI	pride of lions
fcjY4axABmk	pack of wolves
__3lVVMq-o8	litter of puppies
cD46VjjWnD0	litter of kittens
58FW2tQP9ok	herd of elephants, parade of elephants, memory of elephants
_X8VRlSM75Y	herd of cows,  drove of cows
rnpH3awHArY	flock of sheep, herd of sheep, mob of sheep
CnJXyRj8F1A	flock of goats, herd of goats, trip of goats
G7BtwAjnwVE	flock of birds
twS_xUthoBQ	colony of ants explanation 2
uQApIjBYxlQ	colony of ants explanation 1
ZL-vKm2e0GQ	army of ants, swarm of ants
Fo3xV2e6plI	ladybird
1bWba0OLUS4	donkey
HJZlFVyPI5g	vulture
AOuUBfdCN30	whale
eWEBLSZp_-c	masturbation males
PhPRxY3FHLw	masturbation females
em3YUNkJIcE	account
ETMTBLG53oU	accomplish
9Cy6tShFSNc	accomplish, achieve, attain, realize
283-J19kIZI	accessories
GeZDb5_SSLc	abundant sign and explanation
NNR7TLkTftY	abundant explanation
AReveMXhq8Y	abroad, overseas
HWrzrrE8-lY	above board, honest, proper
1prjoYf2I0Y	abort, discontinue, halt
k9pt2WjWsdw	abort, cancel
Q1Ol0QIuRqU	abolish
xSwDDBzo0p4	abode
onWOwACy7ms	abide by, comply with, follow
iiEvzKls48o	abhor, despise, detest, hate, loathe
-xpcPTnkFRo	abate, subside
g--kYdR6Q58	addicted, dependent, hooked sign 4
PYocOoHVMcc	addicted, dependent, hooked sign 3
nWS6aZSurik	addicted, dependent, hooked sign 2 2
TCYQe5JG170	addicted, dependent, hooked sign 1
7wT_fWIocCg	adamant, stubborn
Ewjd2t29zG8	acumen
rjwU4pNNBEU	acuity
ayonEInIa_I	activist, advocate, campaigner
zFTmqjDoNEU	action replay
ladVXR6BBuU	act your age
X5YmjlVCnzc	acquire
45nPE37KjV8	acquaintance
z0vK4N3crNE	accurate
JLdqXHtkd8o	accumulate
ajlN6H1IeNQ	accountable, answerable, liable, responsible 2
ew4Rxg65SZA	adrift, aimless, directionless, goalless, purposeless
XQvhiA_bIFg	adverse, detrimental
3fQdnd4ICys	agnostic
VMHkZZQlGMI	age old
YjZAB2Tz8dQ	ageism, age bias
isLMfCO412k	aftermath
lW8v1S8BMP4	afford
85e6c6omSg8	affluent, wealthy
N5d-udSqHhI	affiliate
lBvpNkL4XTE	affect, influence
oO7PdNu5HQ4	aegis, patronage
UNDtopw-Ca4	adrift, unmoored, unanchored
Tnt-cekxzZQ	adjacent
ygaJzIFDc14	adhere to
aDWTzM_EL6U	adequate, sufficient
6j7delTumo8	apparel, garment
N8Y3n4CUb8Q	apex
ikMODssCpWA	anything goes
6mrpMvzBmNA	ample, plenty
Epp1rgi3lYU	ambidextrous
bePh9SLBwN4	amateur, non professional
xbx-dw6vjE8	altruism, benevolence, humanitarism, selflessness
OmoSj3z6wSY	allocate, allot, apportion
phRNBxqNuFQ	all by yourself
BzEtei3w46E	alien, extraterrestrial
9fLYqe3Dv-Q	aisle, passage
wo08WgC6r1E	aid
bzcZJth6kdY	agreement business
MGv5WVlS5os	agony, suffering
rIIIcmdWJ_s	archive
ISVXphDCDBA	archaic
Hs_gjRIz8J4	arch
vHMeDlA1GMI	appropriate, relevant, suitable
nalhuT4RL_8	apprentice, novice, trainee
-FR-8LkoAf4	appraise
5-GhDuSW2a4	ash
xcwFAWeIiIA	ascend, go up
saaUqIHBhXY	artisan, craftsman
mAa78fAhCBM	artificial, fake, imitation
cuhlZ8g7pGM	arsenal, armoury
Z5cP85xq_nI	aroma, fragrance
OJ_bfwk6PbU	arms, arsenal
bjN7PGjXntQ	armour
XI-Ya_zOvog	arid
jxW_0jcxCoQ	average, not worthy of praise
AZXVQb0CAyA	autograph
nlWcmETIpbY	audible, perceptible
dx1U-VZgsYk	atone, make amends, make reparation
Bg1RXbB2D5k	athletic, fit, active
vhovPvocJOU	atheist
D63ax9Kw9Qw	at large, on the loose
KLwxks000Tk	assure, reassure, relieve doubt
Q1Y45CzOrXI	assent, agree, approve
EAlt_VWbiPY	aspire, aim for, pursue
3I2M7gc4Gto	bandh, general strike
uYuEMgFwsdk	bad blood
mWITdUxx8G4	backstab, betray
7GL7h9MXPGQ	backbreaking, arduous, strenuous, gruelling
rvdSDYfneIo	bedwetting sign
7-H8lqmfRjw	bedwetting explanation
JXm9aimyEhA	bedridden
rw8hYbppJmg	bed rest
LtwJEYWnKU0	beware
3osgwP2e_G0	bet
hR0xPpnGHKg	behind someone's back
YSieYuWNOrE	behind bars
5WfeWG3xGis	behead
twQ8Qb9R8Tc	beat
6wavbheS8l0	beat, defeat
76llN9aK6WA	bear fruit
sPShq0SyoiI	be yourself
nYf4vKwnsok	be on someone's back
TYizOfBroUI	barricade, barrier
khZbgGhSvBw	bright and early 2
b8rvK37fCzU	breastfeed
ozWwy7H38Cw	bounce, rebound
hXl0A5-ds6w	bottlefeed
uOiXuNLe1WE	border
0iMQCqjG0c0	board panel sign 2
UN5lkw3f_sk	board panel sign 1
Sx_efrmUFH0	blow
W0xG-YMXVTk	block barrier
hJBvVqgEdCc	blink
EkvojC2Jxys	biweekly, fortnightly
VPeTiULfiLA	bulletproof
3j5wVxRybJ4	bullet
0HPLgcFDIhw	browse, peruse, flip through, leaf through read
9dRkeanV30o	browse, look through shopping
g0XNt0R4Eb8	caricature
k9AXInD62iY	cargo
sTVqgNJ4b-U	cardinal, key, fundamental
BYY48CLGr9I	cardinal person
hDs-jMm9dJ8	capsize, overturn
2s7LuJDCd50	capitulate, give in, surrender
KZ7rcJdu8wE	cannibal
gsGUGtW5E0c	callous, indifferent
NTTlYcy3GWg	calamity, catastrophe, disaster, tragedy
knHXSiV_pQ8	cacophony
oqTZqSo_fhU	cabin
jnd8BfP1ztU	bystander, onlooker
A6Rd6N9uLMk	bust, statue, memorial
ISAuWJtFs1E	bury the hatchet
vCMbKG9rnEk	burn the midnight oil
PSntlzsOzt4	celibate
RovpcMjgPgg	celibate, chaste
G34j3tlZRXg	celebrity, personality, star, big name, celeb
Vl5FZxkx3IQ	cease, discontinue, halt, stop
QFAED7FBldo	cavalcade, procession
vC9UFI1U0Wk	caution
FcEzXgpOaC4	castrate
hKTHe8P6uqw	castigate
9BqeJPCVo1k	casino
OYu35PHClx0	carnage, slaughter
ydJ-SuED6OM	challenge
uzj1z_4hah4	challenge sign and explanation
qelx63DFAlk	chain, sequence, string
_3q4Uvk_C1Y	certain, definite, sure, positive
3Zi1DhhPRs8	ceremony
ujtzoVW3aEA	consensus
K74t7NEGiuc	contract
mIAvHvhYo7k	come of age
ZKszQELAGzw	circus
q5JoHwkELQE	chop
jDUGS-3uLa8	charge
DAwmQVjIbqg	chaos, disorder, disarray, mayhem
Mh4NzVQB-gg	dare, brave
UeIoSH2PoGo	dare, be brave enough, have courage
UHuovdDniZ0	damp
iyCgirbp2Gk	customer
OgHlBQh5kMQ	cubicle
li2j2kUzXZ4	crush, smash, squash
r8g6qc1zWOM	crumb
X1YiOfpqJeM	crawl
DWR2QL2TqDE	deal, handle, manage, cope with
emyNKVmnJb4	daydream
CJ5o9r0w1s0	dawn
yquOJtD-9kc	dare, challenge
DwxfQIZZrqI	dare, challenge, provoke
F29FNFHbO7U	dare, challenge 3
mnR0NlEkiTg	dare, challenge 2
ucFQ8RTTV4A	delighted, glad, joyful, pleased
Xl7eP37HkGc	delay
ro7_7D6XZTs	dejected, despondent, dispirited
RTsbLSOhwEk	deficient, insufficient, inadequate, lacking
8CB84k2QleU	deface, mar, spoil
I7D7zRzyej0	decapitate
wqy_wYhGw6o	debut, launch, first performance, first appearance
f4br8I-TzTw	deal
Xlskqs7qNF0	disappear with the arrival of someone sign 2
ja1OiG2hetQ	disappear with the arrival of someone sign 1
OLotkAwoxlY	din, noise, racket
nLe8kYNxqx0	devil
-TJTzZkcIKQ	derail, go off the rails
LHG2pCelUO4	demote, downgrade
D_ypO5cBJew	demise, expiry, passing away
nhaT0REuCMs	entertainment
g3InjoHTfg4	enter
95_wAPT9BDM	effort
wBfB9HCNblM	eagerness, willingness, promptness
KW0A3ruA_BA	distracted
qZ5HhweFcgs	disorder
JCxaBOa9Oks	disaster
_s2ryhYf9cw	disappear with the arrival of someone sign 3
TagJgRWxnTc	gaffe
CzLVPeivQB4	from rags to riches
1G_pWBvxL9Y	fortnight
Cl2UibyiQg8	fart, pass gas
eHn7-E8j3II	faint, pass out, lose consciousness
D9zw4aq_vAA	exploit
O9gx8jWKYVU	expense
IFWcju3NeCE	exit
N2JSD2qn19s	exhausted
R-M6xB7u2Pc	gangster
gsRVIdptQL8	game plan, strategy, blueprint
86Qoe3Dclhg	gallows
NXHmIdfRXgg	gale, windstorm
aSPJmm-LjXI	gala, celebration
t-SNZ7gLW14	gag, muzzle
IXzyf9D8_4Q	glimmer
4J8ukbeG5NQ	glare
XnaRjWLxYhk	glare, glower, scowl
JWG6pHZcTqw	glad
8lFcH-qrGE8	giftwrap
CULuEXj5Ums	genre
7C5FKwpD-Sw	genealogy
rmtUEB6X-J8	geld, neuter
7brvDDkc0jw	gather
YL6mKd5Ok4c	gather 2
-uaGUjyn0DY	gatecrash
n8ZfG6cKUaU	gargle
pyQYXbe63-k	gap, space
TAjfZ1oRRKE	gap, lack
jvZub10gDQU	gap, disparity
w7AqrDMxhjY	glutton
GzZJWcwzR1g	glow
bujFujzxcio	glow 2
m6MWgwzK23M	gloss over something 2
PkYROtB8lyw	gloss over something 1
MrE1wZutsoI	gloomy, somber
-yym4gnRDdM	gloom
RDEcICQOBHI	glitter,  sparkle, twinkle
obeAI02Hea0	glint
z1rgez9iD9Q	gossip
hp2wRu52rZM	god sign
CpWSFGgI1wg	god sign and examples
bteusfWU4AE	go out of business
2TVFiVXDMGY	go ballistic
m-BspeCRAvA	gutter, ditch, culvert, drain
TJhDO-ko_Hw	grope, root around, fumble, cast about, scrabble
_9i9R36kpcA	grope, fondle, molest
9WWP1LPKg_k	grill, grille, grillwork
-8lsoySXlPg	grief, sorrow, sadness
bitwbOHAq9E	green with envy
b-swwR_XmfI	green room explanation 2
y6IncHiKBts	green room explanation 1
S3jvcKb8znE	grease, lubricant
vuvF3O8ULLM	grave, serious
mwPFsxPmBCE	grave, burial place
9MFqb8J9ino	gratitude explanation 2
mf_yKNyp9YY	gratitude explanation 1
jLHUywzJ9Kc	gratis, free of charge
YdLy0MloxVM	gradual
96i7dPcFCyA	hold on
DqeDQbfaywQ	hide, conceal
7cdJyR9hwcs	hell
ypIsAKT69Ms	heaven sign 2
kiTMSicqd2M	heaven sign 1
uGzZtSoCKYw	heart of gold
jkQEyVWKYMI	have your hands full
gC7EOvHat1Y	have a ball
c8ePkHfuW48	handwriting
D62pt7sBznI	interstate
lyW-MGbTFQQ	in touch to be in touch, to get in touch
gMEo_CeTwz4	in advance, beforehand
3mNhRmGdY0Y	implementation
EATClTvn0tw	host
dPCCMvgyZZ4	hold
REDlYKJHZW0	labour intensive
FXcCeU5OzHU	labour force
RZSXvFhc2hw	labour physical work
tqjE4GsappQ	knit
Iby5eijOUNY	kneel
nHGdQRw15QY	keep somebody at arm's length
wGVwRRuBZeI	jammed, stuck
hSzKgQQ5p8w	jackpot
hdCcUVx9gCc	lacklustre explanation 1
yMCrcId7-cQ	lacerate
QnQ5ZLZls50	lacerate, criticize
DGBmxN9HsOE	lace up
b9EpuyIztpA	labourer
rizjhgmd-WY	issue
I0lqdRdEnrc	intrastate
RgW9Xi46WiM	landscape
cS77CknhurM	landfill
__wVLZlhtfk	laminate wood
QhIcUr0gjaI	laminate paper
24D3aoLZwhk	lame excuse explanation 2
Al5SUne4rn0	lame excuse explanation 1
0rcd7tu_tCQ	laidback
tGtD3HRf8z8	lacunae
V6496WPXPwA	lactose
qY21g6gtLC8	lactose intolerant
dfJf_WCAfNg	lacklustre, boring, dull
m33OHJDv6NA	lacklustre explanation 2
QasCnNjy4J4	large scale explanation 2
Apd18kRX4-I	large scale explanation 1
JzyX2sR0aR0	lapse
awRnOvFxJuo	open minded, broad minded
CF4y3d384b4	old fashioned
f4W6OIdRaEI	noose sign
tuW_8xNpGaw	noose explanation
_Ni08gm9hUc	nightmare, bad dream
_LRy035Ars0	narrow minded
x5dozV0GgRo	mole, birthmark
KJSHVz6mHBY	mind your language, watch your language
BkJpghHupy8	mediocre, average
uR-57rC55ic	mastermind
ODI2DmqJYuM	master
vZOv5xAp0ic	margin, difference  numbers
I58Q6UNXYrU	manual
xH03WIj5VEU	location
DunCj6Ua42o	lather
WkLhh9KTRMw	same as last one, same as last time
EKLQVzQFdPI	risk, uncertainty
Qpn32fQp_7I	ride
nXyNy5b-R2o	reward
HwMf-oPRqfs	respond
I8qgoK1_qeA	reside
Bx1xldcfXoU	reprimand
VLb1h8Tw_IE	rehearsal
QHALonP79u8	red tape
KGgXTSTG4TI	ramp, runway
s168Yse4V_Q	raise, lift remove words hand, head, table, etc
XkNAchf_xiA	raise, increase
I5s7nIz9IYk	raise, bring up, rear
7-rsdIpzeWU	raise one's hand against someone
MkLbmEgxk8s	rain drop
1dVncG7NKwE	rage
HwToT9cPCbA	rag
tObB5KaFRMM	racket, scam
MiuIxTD6ZDE	race
ur0UviL-50g	procession
LqkoYbMwyZ0	priority
ivDLWp4kUh0	predict
xs5gf_mGnDw	pilgrim
BPk-7ebwxnk	philanthropy, philanthropist
L4xxAEWd1e4	pending
A9Svm5bNZGs	pee, urine
xFUkNWsspHw	passed away
zLrsPES8ffU	owe
nV8DPm707cI	out of action
xXm6PM12juE	orchestra, ensemble, symphony
JzB_ss_NVJ8	stock, commodities
pwOqXHzH1kE	spot 2
0lnhT56rLFc	spot 1
82UB2hWcsCU	spiral
B6zmiYeF6lc	solo
U1PhMmO4MF0	slaughter
U0_cmFO1jT0	sin sign 2
VnAl3lu9sNc	sin sign 1
_MoK-cJOgtM	shiver
JXHnwIkqPXY	sew
D9p4kbaZEDw	see eye to eye
bbPRouLVTYU	surrender
bfXcrgN9afs	surface
BIge7IgS4uo	sudden, unexpected, unforeseen
JBQ9XD9hb5g	studio video recording
BsTBBYmhNoQ	use, utilize
tyYUlCikK1Q	update news, information
ob-AmNtjdnI	unfeeling, uncaring, unemotional sign 2
GGdPRplnsaA	unfeeling, uncaring, unemotional sign 1
nE4cYtnQD5A	tight hug, tight embrace
xTF22I5lL7Y	thrill
REBqwlKAYkE	theory
YrxH8huzKQA	take off success
olb0nkATRw4	take off clothes
ReOT71I7wvQ	yawn
MnVpYqFe5JI	wrinkle
1maQej_oV84	word of mouth
TDZxzknDTt8	waterproof, water resistant
j9ErlO057wE	waste, excess
dxGKPFcTeKY	visible
BV6kNJhWxMQ	year after year
8EaQxoDHbZA	yearlong
tE1-YX0EuD4	yearn, long
eGupva-rFEA	yell, shout, shriek, scream
wQEaOUWUGPM	zone
aO4uNwXFdrM	invertebrates
4fHVHfm2JV0	AC express train
r7izspMDMts	air hostess
eEfuhSdz6Uo	baggage reclaim explanation 1
_jep8SzUPPM	baggage reclaim explanation 2
qZM2nmMj8s8	berth train
z2dQ7caHgYg	boarding pass
FVu4ZQKIwhg	brake lights
JLBe6gbaBvQ	bullock cart
PSXKB-rmQX0	cargo train, freight train, goods train
TV2jTvdxKIw	carpool, carpooling, motor pool, ride share
2mv69CLtEnk	catch a train, bus, etc
iY9G1RaCBgI	chauffeur
